Distancia,Run,MesmoCanal,FlowId,Origem,Destino,PacotesEnviados,PacotesRecebidos,PacotesPerdidos,TaxaPerda,ThroughputMbps,AtrasoMedioMs
10,6,0,1,192.168.1.1,192.168.1.2,40000,39972,28,0.07,42.0431,0.000679522
10,6,0,2,192.168.2.1,192.168.2.2,40000,39992,8,0.02,42.0697,0.000681417
10,6,1,1,192.168.1.1,192.168.1.2,40000,37716,2284,5.71,31.8049,1.05266
10,6,1,2,192.168.2.1,192.168.2.2,40000,37597,2403,6.0075,31.1417,1.29746
10,7,0,1,192.168.1.1,192.168.1.2,40000,39993,7,0.0175,42.0704,0.000678184
10,7,0,2,192.168.2.1,192.168.2.2,40000,39978,22,0.055,42.055,0.000677009
10,7,1,1,192.168.1.1,192.168.1.2,40000,37674,2326,5.815,31.3921,1.06337
10,7,1,2,192.168.2.1,192.168.2.2,40000,37595,2405,6.0125,31.2832,1.19244
10,8,0,1,192.168.1.1,192.168.1.2,40000,39973,27,0.0675,42.0494,0.000679444
10,8,0,2,192.168.2.1,192.168.2.2,40000,39962,38,0.095,42.0374,0.000678519
10,8,1,1,192.168.1.1,192.168.1.2,40000,37635,2365,5.9125,31.4127,1.17869
10,8,1,2,192.168.2.1,192.168.2.2,40000,37616,2384,5.96,31.109,1.19488
10,9,0,1,192.168.1.1,192.168.1.2,40000,39987,13,0.0325,42.064,0.000679376
10,9,0,2,192.168.2.1,192.168.2.2,40000,39953,47,0.1175,42.0287,0.000678096
10,9,1,1,192.168.1.1,192.168.1.2,40000,37573,2427,6.0675,30.9677,1.2773
10,9,1,2,192.168.2.1,192.168.2.2,40000,37693,2307,5.7675,31.8074,1.12675
10,10,0,1,192.168.1.1,192.168.1.2,40000,39987,13,0.0325,42.0648,0.000679354
10,10,0,2,192.168.2.1,192.168.2.2,40000,39992,8,0.02,42.0696,0.000675449
10,10,1,1,192.168.1.1,192.168.1.2,40000,37663,2337,5.8425,31.4268,1.12127
10,10,1,2,192.168.2.1,192.168.2.2,40000,37589,2411,6.0275,31.0811,1.23883
